state_code,estimate,pop,issue_id,state_name
02,0.4087,1431449,fossil_fuel_levy,Hamburg
03,0.2409,6204994,fossil_fuel_levy,Niedersachsen
04,0.3117,550759,fossil_fuel_levy,Bremen
05,0.2704,14256301,fossil_fuel_levy,Nordrhein-Westfalen
06,0.2433,4910495,fossil_fuel_levy,Hessen
07,0.2185,3149298,fossil_fuel_levy,Rheinland-Pfalz
08,0.2572,8784086,fossil_fuel_levy,Baden-Württemberg
09,0.2686,10136201,fossil_fuel_levy,Bayern
10,0.2253,809696,fossil_fuel_levy,Saarland
11,0.3767,2877040,fossil_fuel_levy,Berlin
12,0.1993,1973635,fossil_fuel_levy,Brandenburg
13,0.1738,1265934,fossil_fuel_levy,Mecklenburg-Vorpommern
14,0.1748,3118235,fossil_fuel_levy,Sachsen
15,0.1453,1708066,fossil_fuel_levy,Sachsen-Anhalt
16,0.1731,1614194,fossil_fuel_levy,Thüringen
01,0.4374,2313578,debt_brake,Schleswig-Holstein
02,0.4732,1431449,debt_brake,Hamburg
03,0.4316,6204994,debt_brake,Niedersachsen
04,0.4601,550759,debt_brake,Bremen
05,0.4407,14256301,debt_brake,Nordrhein-Westfalen
06,0.4373,4910495,debt_brake,Hessen
07,0.4222,3149298,debt_brake,Rheinland-Pfalz
08,0.4241,8784086,debt_brake,Baden-Württemberg
09,0.4179,10136201,debt_brake,Bayern
10,0.4206,809696,debt_brake,Saarland
11,0.4594,2877040,debt_brake,Berlin
12,0.3868,1973635,debt_brake,Brandenburg
13,0.377,1265934,debt_brake,Mecklenburg-Vorpommern
14,0.3675,3118235,debt_brake,Sachsen
15,0.3705,1708066,debt_brake,Sachsen-Anhalt
16,0.364,1614194,debt_brake,Thüringen
01,0.4324,2313578,buergergeld_cut,Schleswig-Holstein
02,0.3678,1431449,buergergeld_cut,Hamburg
03,0.4399,6204994,buergergeld_cut,Niedersachsen
04,0.3773,550759,buergergeld_cut,Bremen
05,0.4384,14256301,buergergeld_cut,Nordrhein-Westfalen
06,0.4379,4910495,buergergeld_cut,Hessen
07,0.4592,3149298,buergergeld_cut,Rheinland-Pfalz
08,0.4625,8784086,buergergeld_cut,Baden-Württemberg
09,0.4875,10136201,buergergeld_cut,Bayern
10,0.4505,809696,buergergeld_cut,Saarland
11,0.38,2877040,buergergeld_cut,Berlin
12,0.4683,1973635,buergergeld_cut,Brandenburg
13,0.4744,1265934,buergergeld_cut,Mecklenburg-Vorpommern
